Distance_(microns),Gray_Value
0.000,942.500
16.555,943.527
33.110,944.185
49.665,942.473
66.220,943.141
82.775,946.234
99.330,945.929
115.885,944.620
132.440,944.821
148.995,942.728
165.550,941.315
182.105,944.342
198.660,945.701
215.215,942.457
231.770,939.527
248.325,940.837
264.880,941.755
281.435,941.478
297.990,942.630
314.545,940.120
331.100,934.315
347.655,933.027
364.210,934.130
380.765,935.293
397.320,935.690
413.875,931.614
430.430,929.277
446.985,932.864
463.540,935.750
480.096,936.467
496.651,936.500
513.206,935.842
529.761,935.712
546.316,935.457
562.871,932.033
579.426,928.565
595.981,929.201
612.536,931.571
629.091,935.255
645.646,939.603
662.201,938.755
678.756,933.440
695.311,931.505
711.866,934.592
728.421,940.158
744.976,943.451
761.531,939.098
778.086,934.951
794.641,931.522
811.196,925.190
827.751,924.886
844.306,930.913
860.861,935.413
877.416,935.750
893.971,934.723
910.526,935.516
927.081,936.511
943.636,936.848
960.191,932.826
976.746,929.261
993.301,929.788
1009.856,924.380
1026.411,920.168
1042.966,922.457
1059.521,923.185
1076.076,927.842
1092.631,933.505
1109.186,931.005
1125.741,924.658
1142.296,922.484
1158.851,925.190
1175.406,923.429
1191.961,919.342
1208.516,918.538
1225.071,921.207
1241.626,927.000
1258.181,927.641
1274.736,921.658
1291.291,919.614
1307.846,923.668
1324.401,923.196
1340.956,919.201
1357.511,917.022
1374.067,917.870
1390.621,920.908
1407.177,919.946
1423.732,916.266
1440.287,915.413
1456.842,917.549
1473.397,919.701
1489.952,918.359
1506.507,916.690
1523.062,916.424
1539.617,912.717
1556.172,907.897
1572.727,907.560
1589.282,909.560
1605.837,911.092
1622.392,912.815
1638.947,913.380
1655.502,912.027
1672.057,910.120
1688.612,907.870
1705.167,906.228
1721.722,902.897
1738.277,897.891
1754.832,899.255
1771.387,902.924
1787.942,900.408
1804.497,898.190
1821.052,897.777
1837.607,894.293
1854.162,890.745
1870.717,890.462
1887.272,890.408
1903.827,890.071
1920.382,892.207
1936.937,892.207
1953.492,891.630
1970.047,894.326
1986.602,892.283
2003.157,886.701
2019.712,881.620
2036.267,876.255
2052.822,875.832
2069.377,877.641
2085.932,873.038
2102.487,866.120
2119.042,863.516
2135.597,864.136
2152.152,866.326
2168.707,867.533
2185.262,865.788
2201.817,862.793
2218.372,860.701
2234.927,860.543
2251.482,857.810
2268.037,851.886
2284.593,849.397
2301.147,849.728
2317.703,848.397
2334.258,846.810
2350.812,846.712
2367.368,846.859
2383.923,843.913
2400.478,840.533
2417.033,840.989
2433.588,842.598
2450.143,844.728
2466.698,847.049
2483.253,846.734
2499.808,843.495
2516.363,835.745
2532.918,831.500
2549.473,838.848
2566.028,844.750
2582.583,839.886
2599.138,835.272
2615.693,838.147
2632.248,840.967
2648.803,838.620
2665.358,837.299
2681.913,834.815
2698.468,831.408
2715.023,837.293
2731.578,848.087
2748.133,855.679
2764.688,859.478
2781.243,855.288
2797.798,845.152
2814.353,841.565
2830.908,844.620
2847.463,842.614
2864.018,840.745
2880.573,844.652
2897.128,848.457
2913.683,852.076
2930.238,857.342
2946.793,861.315
2963.348,859.174
2979.903,856.304
2996.458,859.647
3013.013,859.582
3029.568,857.636
3046.123,857.739
3062.678,853.288
3079.233,845.016
3095.788,835.674
3112.343,823.723
3128.898,808.549
3145.453,787.848
3162.009,763.174
3178.563,738.212
3195.118,712.652
3211.674,680.315
3228.229,646.826
3244.783,613.391
3261.339,582.467
3277.894,556.283
3294.448,528.261
3311.004,500.707
3327.559,478.022
3344.114,458.326
3360.669,438.929
3377.224,419.935
3393.779,401.587
3410.334,386.098
3426.889,373.440
3443.444,363.033
3459.999,352.880
3476.554,342.489
